Rebecca_Cody,263,126
BigVapingNunga,1435,948
Prospero37,506,309
Lynmaree56,265,288
austpoliticstv,512,802
Allchanges,3003,3797
AndyLSemple,56,198
dawesy,195,1090
OZloop,1698,1513
SaveTheV8,112,431
AnneDaw2,700,834
MiltonCatelin,66,25
KarenLuxford,1011,765
notmmansam,107,184
elliemail,3667,2488
Snarkathon,2587,1585
Rwc356,1139,2415
sallymell,1040,831
el_tenebroso_vi,246,1697
ToryHunta,1331,2639
Bayardo70,70,187
JSalmonupstream,2886,3614
Davidjcraig_99,24,104
RV_27,438,321
MarkInHamilton,1044,4015
MatfromPerth,9,7
bronwyn64,714,1353
skortez,109,233
Butus45,365,432
AQjournal,393,815
antilunatics,49,85
madje28,757,1495
